event_id,event_date,tw_event_trade_date,decision_type,rate_change_bp,policy_tone,index_name,window,return_rate,benchmark_return,excess_return,event_source,price_source,benchmark_source
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Shipping,10,-0.021917300203967982,0.04720725017605387,-0.06912455038002185,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,TAIEX,1,0.029950716700421376,0.029950716700421376,0,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,TAIEX,3,0.03657022707860236,0.03657022707860236,0,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,TAIEX,5,0.04666477380388079,0.04666477380388079,0,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,TAIEX,10,0.04720725017605387,0.04720725017605387,0,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220504,2022-05-04,2022-05-05,hike,50,tightening,Construction,1,0.008199806430799095,0.00786498473061692,0.00033482170018217516,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
E20220504,2022-05-04,2022-05-05,hike,50,tightening,Construction,3,-0.020728035272609913,-0.031203386730396354,0.010475351457786442,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
E20220504,2022-05-04,2022-05-05,hike,50,tightening,Construction,5,-0.023846650177438478,-0.03377917073880399,0.00993252056136551,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
E20220504,2022-05-04,2022-05-05,hike,50,tightening,Construction,10,-0.009544036993224925,-0.016236433670996364,0.006692396677771439,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
E20220504,2022-05-04,2022-05-05,hike,50,tightening,Electronics,1,0.012924736324752217,0.00786498473061692,0.005059751594135298,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
E20220504,2022-05-04,2022-05-05,hike,50,tightening,Electronics,3,-0.024707101299115353,-0.031203386730396354,0.0064962854312810014,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
E20220504,2022-05-04,2022-05-05,hike,50,tightening,Electronics,5,-0.022302808108179972,-0.03377917073880399,0.011476362630624015,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
E20220504,2022-05-04,2022-05-05,hike,50,tightening,Electronics,10,0.008142716718471776,-0.016236433670996364,0.02437915038946814,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
E20220504,2022-05-04,2022-05-05,hike,50,tightening,Financials,1,-0.010173760314602265,0.00786498473061692,-0.018038745045219184,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
E20220504,2022-05-04,2022-05-05,hike,50,tightening,Financials,3,-0.06033559048681614,-0.031203386730396354,-0.029132203756419783,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
E20220504,2022-05-04,2022-05-05,hike,50,tightening,Financials,5,-0.07061981508279291,-0.03377917073880399,-0.036840644343988926,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
E20220504,2022-05-04,2022-05-05,hike,50,tightening,Financials,10,-0.0820142057065848,-0.016236433670996364,-0.06577777203558843,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
E20220504,2022-05-04,2022-05-05,hike,50,tightening,Shipping,1,0.009455329857990247,0.00786498473061692,0.0015903451273733271,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
E20220504,2022-05-04,2022-05-05,hike,50,tightening,Shipping,3,-0.024015818802804012,-0.031203386730396354,0.007187567927592342,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
