date,index_name,close,source
2022-05-16,TAIEX,15901.04,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
2022-05-17,Construction,364.94,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220517&type=IND
2022-05-17,Electronics,749.05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220517&type=IND
2022-05-17,Financials,1615.61,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220517&type=IND
2022-05-17,Shipping,253.12,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220517&type=IND
2022-05-17,TAIEX,16056.09,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
2022-05-18,Construction,368.41,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220518&type=IND
2022-05-18,Electronics,758.95,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220518&type=IND
2022-05-18,Financials,1662.05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220518&type=IND
2022-05-18,Shipping,256.77,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220518&type=IND
2022-05-18,TAIEX,16296.86,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
2022-06-15,Construction,365.73,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220615&type=IND
2022-06-15,Electronics,734.89,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220615&type=IND
2022-06-15,Financials,1644.2,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220615&type=IND
2022-06-15,Shipping,248.77,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220615&type=IND
2022-06-15,TAIEX,15999.25,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220601
2022-06-16,Construction,359.87,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220616&type=IND
2022-06-16,Electronics,728.15,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220616&type=IND
2022-06-16,Financials,1644.21,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220616&type=IND
2022-06-16,Shipping,236.82,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220616&type=IND
2022-06-16,TAIEX,15838.61,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220601
2022-06-17,Construction,357.21,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220617&type=IND
2022-06-17,Electronics,717.27,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220617&type=IND
2022-06-17,Financials,1620.32,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220617&type=IND
2022-06-17,Shipping,235.99,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220617&type=IND
